season,position,team,gp,w,l,win_percent,ppg,fgm,fga,fg_percent,threepoint_fgm,threepoint_fga,threepoint_fg_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,tov,stl,blk,pf,pfd
2022,1,Las Vegas Aces,36,26,10,0.722,90.4,32.3,70.3,46.0,9.5,26.4,36.1,16.3,19.8,82.3,6.9,28.4,35.3,20.8,11.7,7.7,3.9,15.8,17.8
2022,2,Chicago Sky,36,26,10,0.722,86.3,32.7,67.9,48.1,7.2,20.9,34.5,13.7,16.6,82.3,7.2,27.6,34.8,24.3,14.8,7.3,4.3,16.2,16.5
2022,3,Connecticut Sun,36,25,11,0.694,85.8,31.9,69.0,46.2,6.4,18.0,35.4,15.7,19.9,78.9,10.2,26.9,37.1,21.1,15.6,8.8,2.7,17.1,18.9
2022,4,Seattle Storm,36,22,14,0.611,82.5,30.4,68.8,44.2,9.3,25.6,36.1,12.4,15.1,82.5,7.8,25.8,33.6,22.6,13.4,8.3,4.2,15.6,16.1
2022,5,Washington Mystics,36,22,14,0.611,80.2,29.3,66.8,43.9,7.6,22.5,33.8,14.0,17.9,78.4,8.0,26.9,34.9,20.3,13.7,7.6,3.7,15.9,17.4
2022,6,Dallas WIngs,36,18,18,0.500,82.9,29.7,68.2,43.5,7.8,22.6,34.3,15.9,20.8,76.4,9.6,24.3,33.8,18.8,13.6,7.1,3.7,18.8,18.6
2022,7,New York Liberty,36,16,20,0.444,79.6,28.8,66.7,43.1,9.7,27.6,35.1,12.4,15.0,82.3,7.0,27.3,34.2,20.7,15.5,6.1,4.1,18.2,16.1
2022,8,Phoenix Mercury,36,15,21,0.417,81.1,28.6,66.5,42.9,8.8,26.7,32.9,15.2,18.6,81.7,6.8,24.3,31.2,19.3,14.3,7.4,4.5,19.8,18.4
2022,9,Minnesota Lynx,36,14,22,0.389,82.4,30.2,67.1,45.0,6.8,19.6,34.8,15.2,19.4,78.4,9.0,28.0,36.9,20.6,15.5,6.1,2.8,19.5,17.9
2022,10,Atlanta Dream,36,14,22,0.389,78.5,28.8,68.4,42.0,7.5,21.4,35.1,13.5,17.3,77.7,8.6,26.8,35.5,17.6,16.1,7.8,3.1,19.5,17.9
2022,11,Los Angeles Sparks,36,13,23,0.361,79.4,29.8,66.9,44.6,5.4,16.9,32.0,14.4,18.3,78.6,6.9,23.4,30.4,18.9,14.7,8.6,3.9,18.3,18.5
2022,12,Indiana Fever,36,5,31,0.139,78.0,28.4,69.4,40.9,6.8,20.1,33.8,14.4,19.4,74.6,9.8,23.5,33.3,18.0,16.5,7.2,3.6,20.0,18.0
2021,1,Connecticut Sun,32,26,6,0.813,79.7,29.2,65.6,44.4,7.0,19.5,35.7,14.4,17.7,81.6,9.7,26.9,36.6,18.0,15.1,7.8,3.6,17.8,18.0
2021,2,Las Vegas Aces,32,24,8,0.750,89.3,33.1,70.3,47.2,5.1,13.5,37.5,17.9,21.9,81.9,7.4,31.3,38.7,20.9,11.8,6.8,4.6,14.2,18.8
2021,3,Minnesota Lynx,32,22,10,0.688,82.7,30.7,67.1,45.8,6.8,19.8,34.0,14.6,17.4,83.7,7.3,27.7,34.9,20.4,14.6,6.8,4.1,17.5,17.5
2021,4,Seattle Storm,32,21,11,0.656,84.8,31.0,68.8,45.0,8.6,22.7,37.9,14.2,16.9,83.9,7.2,28.4,35.6,21.3,12.9,7.6,4.2,15.5,17.1
2021,5,Phoenix Mercury,32,19,13,0.594,82.1,29.5,65.7,45.0,7.5,21.8,34.6,15.5,19.4,79.8,8.0,28.2,36.2,19.7,13.7,4.8,5.2,16.3,18.2
2021,6,Chicago Sky,32,16,16,0.500,83.3,30.8,69.9,44.1,7.3,21.2,34.3,14.3,17.0,84.5,8.3,26.7,35.0,21.8,14.5,7.0,4.5,19.0,16.6
2021,7,Dallas WIngs,32,14,18,0.438,81.1,29.7,70.7,42.0,8.2,23.1,35.4,13.6,16.4,82.9,10.0,26.1,36.1,17.4,13.8,6.8,3.9,18.4,15.8
2021,8,New York Liberty,32,12,20,0.375,78.5,28.3,66.1,42.7,10.0,27.7,36.2,11.9,14.7,81.3,6.2,27.1,33.3,19.2,16.9,6.1,3.8,17.9,17.2
2021,9,Washington Mystics,32,12,20,0.375,79.8,28.4,69.2,41.0,9.0,27.4,32.8,14.0,17.4,80.8,8.1,25.2,33.3,18.6,12.9,6.9,3.1,17.2,17.4
2021,10,Los Angeles Sparks,32,12,20,0.375,72.8,27.0,65.8,41.1,6.8,20.2,33.5,11.9,15.6,76.6,6.1,23.2,29.2,15.4,13.9,8.3,4.2,19.3,18.5
